"","V1","V2","V3","V4","V5","V6"
"GT",0.0745828693007521,29.9163714480912,-29.9999575916595,-0.0341686669723019,0.0979144191197005,4.99999999999267
"GWW",0.0745829520022669,29.9162703500761,-29.9998527837085,-0.0341694110196646,0.0979087536833757,4.9999999999954
"HAL",0.0746392001339249,29.1060773753996,-29.2631609008957,-0.0347258175339106,0.0469096178995924,4.99999999035082
"HAS",0.074638951464658,23.4479805946598,-23.6858872369187,-0.0347245484640144,0.0309744751599891,4.99999999998884
"HBAN",0.0745827331100947,29.9162345001895,-29.9998210655695,-0.0341679657044954,0.0979160341037851,4.99999999999915
"HBI",0.0746394702115544,26.0067857714262,-26.3061237423625,-0.034726973703809,0.024618077983436,4.99999999999045
"HCA",0.0746392167638511,26.9742491461596,-27.3527805299097,-0.0347258939147604,0.0194670515448913,4.99999999996085
"HCN",0.0745826369107957,29.9164022184022,-29.9999864865738,-0.0341676844133256,0.0979134243020616,4.99999999998451
"HCP",0.0746393399766686,29.3505531113736,-29.5411111499123,-0.0347264815232325,0.0386698846667513,4.99999999998703
"HD",0.0745823461424742,29.9162529245227,-29.999836972505,-0.0341662398209713,0.0979157221887071,4.99999999999636
"HES",0.0746403383153985,29.2481435979901,-29.3822127256373,-0.0347293232279745,0.0549585972936532,4.99999815916347
"HIG",0.0746388558987688,17.2325411166762,-17.467756906711,-0.0347241719034088,0.0313282170583036,4.99999999997217
"HLT",0.0746428630411449,11.8684637141697,-12.1221007761102,-0.0347420252809892,0.0290620748151305,4.99999999996805
"HOG",0.074583112076808,29.9163607637139,-29.9999467218487,-0.0341699011678759,0.097912069373455,4.9999999999826
"HOLX",0.0746391323791649,29.4148123299959,-29.6128579944066,-0.0347255118518048,0.0372078728258797,4.99999999993686
"HON",0.0746385458041651,29.5817289476817,-29.7527291509283,-0.0347227061731463,0.0430914644966016,4.99999999946
"HP",0.074639871946218,24.5405505589396,-24.7664750820551,-0.0347287265068609,0.0326189310008086,4.99999999997376
"HPE",0.0746393920707253,29.4760083940816,-29.6429731106029,-0.0347263511998405,0.0441382338395212,4.99999999891103
"HPQ",0.0746408378139526,19.3053274807311,-19.5995514458712,-0.0347324144857596,0.0250529848518947,4.99999999997712
